,Contest Title,Party,Candidate,1ST BAPTIST CHURCH,A & M UNIVERSITY NEW GYM,ABSENTEE,ALDERSGATE UNITED METH_,ALL NATIONS CHURCH,BOB HARRISON SR_ CTR_,BOBO VOLUNTEER FIRE,BROWNSBORO BAPT_ CHURCH,CAVALRY FRIENDSHIP CTR_,CHARLES STONE AG_ CTR_,CO_ COMMISSION DIST_ 1,COMMUNITY FELLOWSHIP,COVE CHURCH AT CHASE,COVE UNITED METHODIST CH_,COVENANT PRESBYTERIAN CH_,DR_ RICHARD SHOWERS CTR_,FAITH LUTHERAN,FIRE & RESCUE TRAINING,FIRST BAPT_ MERIDANVILLE,FIRST CHURH OF GOD MADISO,FIRST MISSIONARY BAPTIST,GRACE UNITED METHODIST,GURLEY SENIOR CENTER,HAMPTON COVE CHURCH,HAROLD HARBIN GYM,HARVEST BAPTIST CHURCH,HILLWOOD BAPTIST CHURCH,INTERGRAPH CORP_,JACKSON WAY BAPTIST,LAKEWOOD COMMUNITY CTR_,LEWIS CHAPEL C_P_ CHURCH,LITTLE INDIAN CREEK CH_,LOCUST GROVE BAPTIST,MADISON BAPTIST CHURCH,MADISON CHURCH OF CHRIST,MADISON CITY HALL,MADISON CO_ NATURE TRAIL,MADISON MISSION 7 DAY ADV,MARY KELLY JOHNSTON GYM,MAYSVILLE CHURCH  CHRIST,MERIDANVILLE CH OF CHRIST,MONROVIA CH_ OF CHRIST,MONROVIA COMM_ CENTER,MONTE SANO FIRE STATION 2,MOUNTAINVIEW BAPTIST,MT_ ZION BAPTIST CHURCH,NEW HOPE CITY HALL,NEW MARKET FIRE STATION,NEW SHILOH CHURCH,NORTHEAST HUNTSVILLE,OAKWOOD UNIVERSITY CHURCH,OPTIMIST PARK,OWENS CROSS RDS CITY HALL,PINEVIEW BAPTIST CHURCH,PLAINVIEW CHURCH CHRIST,PLEASANT SPRINGS BAPTIST,PLEVNA NEW MARKET FIRE #2,PROVISIONAL,RESTORATION CHURCH,RIVERTREE CHURCH,SHERWOOD BAPTIST CH_,SOUTHWOOD PRESBYTERIAN,ST_ JOHN'S CATHOLIC CHURC,ST_ LUKE CHRISTIAN,THE DWELLING PLACE,TONEY UNITED METHODIST,TRIANA CITY HALL,TRINITY UNITED METHODIST,TRINTY PRESBYTERIAN,WEATHERLY HGTS BAPTIST,WEST HUNTSVILLE BAPTIST,WESTSIDE COMMUNITY CTR,WHITESBURG CENTER,WILLOWBROOK BAPTIST
102,PROPOSED STATEWIDE AMENDMENT NUMBER THIRTEEN (13)       ,   ,Under Votes                           ,771.0,203.0,3285,831.0,645.0,563.0,569.0,511.0,366.0,236.0,660.0,655.0,1261.0,888.0,590.0,417.0,797.0,367.0,493.0,322.0,539.0,577.0,329.0,439.0,488.0,496.0,763.0,799.0,413.0,271.0,107.0,743.0,486.0,641.0,354.0,615.0,120.0,587.0,315.0,705.0,768.0,868.0,760.0,253.0,324.0,910.0,723.0,335.0,355.0,296.0,806.0,685.0,610.0,367.0,513.0,73.0,219.0,0,660.0,845.0,607.0,544.0,763.0,375.0,716.0,643.0,330.0,877.0,229.0,706.0,320.0,62.0,666.0,1110.0
103,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,Yes-Statewide Amendment               ,1303.0,746.0,3092,1529.0,1001.0,979.0,985.0,798.0,599.0,224.0,756.0,1132.0,1967.0,1609.0,881.0,624.0,1790.0,560.0,787.0,820.0,954.0,1525.0,484.0,808.0,770.0,1085.0,1309.0,1740.0,626.0,640.0,184.0,1508.0,995.0,1453.0,849.0,1215.0,217.0,1166.0,464.0,1446.0,1203.0,1964.0,1749.0,296.0,658.0,2090.0,845.0,495.0,638.0,520.0,1837.0,906.0,866.0,757.0,727.0,177.0,231.0,317,1395.0,1624.0,1349.0,800.0,1734.0,1266.0,1509.0,1104.0,799.0,1359.0,406.0,1276.0,599.0,126.0,1182.0,1778.0
104,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,NON,No-Statewide Amendment                ,593.0,327.0,2031,750.0,608.0,330.0,570.0,404.0,195.0,118.0,462.0,647.0,988.0,731.0,410.0,287.0,915.0,206.0,412.0,421.0,334.0,729.0,245.0,392.0,388.0,573.0,678.0,862.0,355.0,207.0,56.0,707.0,560.0,738.0,417.0,640.0,108.0,608.0,240.0,656.0,565.0,1008.0,910.0,174.0,266.0,1098.0,447.0,266.0,190.0,256.0,624.0,417.0,414.0,412.0,418.0,102.0,84.0,160,684.0,744.0,684.0,362.0,904.0,391.0,849.0,616.0,402.0,685.0,209.0,699.0,306.0,29.0,662.0,871.0
105,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Over Votes                            ,0.0,1.0,3,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0.0,1.0,1.0,3.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5.0
106,PROPOSED STATEWIDE AMENDMENT NUMBER FOURTEEN (14)       ,   ,Under Votes                           ,935.0,208.0,4144,1005.0,704.0,585.0,625.0,575.0,374.0,238.0,690.0,788.0,1367.0,1127.0,693.0,403.0,989.0,358.0,579.0,431.0,559.0,727.0,343.0,562.0,533.0,583.0,893.0,983.0,485.0,271.0,111.0,921.0,576.0,828.0,468.0,783.0,145.0,701.0,349.0,835.0,830.0,1087.0,926.0,304.0,400.0,1138.0,710.0,366.0,374.0,327.0,842.0,703.0,666.0,424.0,540.0,76.0,228.0,0,887.0,1068.0,751.0,612.0,1032.0,429.0,926.0,749.0,390.0,986.0,274.0,898.0,365.0,62.0,829.0,1287.0
107,"DISTRICT COURT JUDGE, MADISON COUNTY, PLACE NO. 2       ",REP,Patty Demos                           ,1912.0,571.0,5707,2349.0,1257.0,359.0,1609.0,1241.0,284.0,222.0,1291.0,1832.0,2709.0,2688.0,1393.0,224.0,2298.0,337.0,1008.0,1163.0,382.0,1686.0,783.0,1420.0,1276.0,1332.0,1989.0,2122.0,852.0,317.0,91.0,2094.0,1472.0,2061.0,1155.0,1765.0,335.0,1570.0,706.0,2187.0,1802.0,2658.0,2235.0,429.0,864.0,2860.0,1492.0,784.0,224.0,735.0,889.0,1280.0,1552.0,913.0,1257.0,107.0,362.0,391,2019.0,2604.0,1640.0,1344.0,2692.0,611.0,2404.0,1671.0,855.0,1933.0,524.0,2032.0,617.0,45.0,1918.0,2805.0
108,"DISTRICT COURT JUDGE, MADISON COUNTY, PLACE NO. 2       ",NON,Write-In                              ,30.0,88.0,98,41.0,104.0,49.0,23.0,23.0,63.0,25.0,37.0,34.0,82.0,17.0,18.0,88.0,113.0,37.0,43.0,47.0,82.0,101.0,28.0,15.0,16.0,78.0,53.0,103.0,35.0,54.0,14.0,42.0,47.0,57.0,34.0,46.0,5.0,66.0,15.0,23.0,29.0,89.0,102.0,10.0,24.0,111.0,16.0,11.0,57.0,18.0,138.0,32.0,12.0,54.0,16.0,19.0,1.0,21,55.0,27.0,92.0,7.0,37.0,100.0,66.0,44.0,67.0,83.0,26.0,23.0,55.0,14.0,31.0,44.0
109,"DISTRICT COURT JUDGE, MADISON COUNTY, PLACE NO. 2       ",   ,Over Votes                            ,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
110,"DISTRICT COURT JUDGE, MADISON COUNTY, PLACE NO. 2       ",   ,Under Votes                           ,889.0,623.0,3447,895.0,952.0,1486.0,549.0,514.0,821.0,333.0,580.0,701.0,1533.0,764.0,574.0,1003.0,1282.0,751.0,728.0,462.0,1383.0,1195.0,261.0,327.0,399.0,831.0,843.0,1361.0,579.0,747.0,246.0,1000.0,612.0,901.0,545.0,828.0,130.0,839.0,332.0,726.0,768.0,1311.0,1249.0,335.0,436.0,1357.0,496.0,332.0,922.0,350.0,2277.0,714.0,382.0,626.0,412.0,229.0,181.0,0,892.0,806.0,1052.0,426.0,942.0,1375.0,817.0,755.0,669.0,1014.0,339.0,818.0,598.0,158.0,725.0,1091.0
111,"CHAIRMAN, MADISON COUNTY COMMISSION                     ",REP,Dale W. Strong                        ,1911.0,566.0,5794,2350.0,1275.0,375.0,1557.0,1207.0,302.0,218.0,1188.0,1844.0,2661.0,2690.0,1387.0,235.0,2343.0,358.0,1012.0,1202.0,402.0,1727.0,765.0,1420.0,1214.0,1349.0,2002.0,2140.0,870.0,332.0,96.0,2240.0,1427.0,2107.0,1193.0,1815.0,338.0,1601.0,695.0,2114.0,1763.0,2739.0,2312.0,433.0,851.0,2982.0,1452.0,747.0,239.0,734.0,923.0,1287.0,1549.0,922.0,1232.0,115.0,336.0,399,2075.0,2616.0,1662.0,1330.0,2753.0,635.0,2411.0,1642.0,875.0,1951.0,530.0,2049.0,617.0,46.0,1946.0,2825.0
112,"CHAIRMAN, MADISON COUNTY COMMISSION                     ",NON,Write-In                              ,45.0,90.0,138,42.0,109.0,46.0,76.0,52.0,61.0,22.0,97.0,38.0,118.0,32.0,23.0,86.0,109.0,39.0,59.0,46.0,83.0,106.0,44.0,23.0,46.0,89.0,60.0,110.0,35.0,54.0,13.0,48.0,68.0,65.0,35.0,53.0,4.0,73.0,21.0,87.0,55.0,102.0,120.0,13.0,31.0,129.0,49.0,39.0,54.0,23.0,144.0,40.0,18.0,64.0,45.0,19.0,18.0,19,53.0,48.0,100.0,14.0,47.0,101.0,77.0,89.0,69.0,84.0,32.0,30.0,66.0,14.0,34.0,49.0
113,"CHAIRMAN, MADISON COUNTY COMMISSION                     ",   ,Over Votes                            ,0.0,1.0,0,2.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
114,"CHAIRMAN, MADISON COUNTY COMMISSION                     ",   ,Under Votes                           ,875.0,625.0,3321,891.0,928.0,1472.0,548.0,519.0,804.0,340.0,623.0,685.0,1544.0,746.0,575.0,994.0,1240.0,728.0,708.0,424.0,1362.0,1148.0,263.0,319.0,431.0,802.0,820.0,1335.0,561.0,732.0,242.0,848.0,636.0,847.0,506.0,769.0,128.0,801.0,337.0,736.0,780.0,1217.0,1154.0,328.0,442.0,1215.0,502.0,341.0,910.0,345.0,2236.0,699.0,379.0,606.0,408.0,221.0,190.0,0,838.0,771.0,1023.0,432.0,871.0,1350.0,796.0,738.0,647.0,995.0,327.0,795.0,586.0,157.0,694.0,1066.0
115,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 1        ",DEM,Roger Jones                           ,1224.0,,785,,,,,,,,1194.0,,2117.0,,,,,,1035.0,,,,,,894.0,,,,713.0,,,,1074.0,,,,,,532.0,,1272.0,,,376.0,623.0,,,629.0,,,,834.0,,,873.0,,353.0,55,,,,,,,,,,,,,,,,
116,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 1        ",REP,Tim McNeese                           ,1487.0,,689,,,,,,,,675.0,,2076.0,,,,,,692.0,,,,,,756.0,,,,663.0,,,,1016.0,,,,,,498.0,,1256.0,,,351.0,627.0,,,482.0,,,,1098.0,,,774.0,,185.0,57,,,,,,,,,,,,,,,,
117,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 1        ",NON,Write-In                              ,3.0,,3,,,,,,,,1.0,,11.0,,,,,,1.0,,,,,,3.0,,,,1.0,,,,1.0,,,,,,0.0,,0.0,,,0.0,1.0,,,0.0,,,,5.0,,,0.0,,0.0,0,,,,,,,,,,,,,,,,
118,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Over Votes                            ,3.0,,1,,,,,,,,0.0,,8.0,,,,,,3.0,,,,,,0.0,,,,0.0,,,,6.0,,,,,,3.0,,3.0,,,3.0,0.0,,,0.0,,,,0.0,,,0.0,,0.0,0,,,,,,,,,,,,,,,,
119,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 1        ",   ,Under Votes                           ,114.0,,47,,,,,,,,38.0,,112.0,,,,,,48.0,,,,,,38.0,,,,89.0,,,,34.0,,,,,,20.0,,68.0,,,44.0,73.0,,,16.0,,,,89.0,,,38.0,,6.0,0,,,,,,,,,,,,,,,,
120,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 2        ",REP,Steve Haraway                         ,,,1244,,,,,,,,,,,,,,2326.0,,,,,,,,,,,2114.0,,,,,,2093.0,1165.0,1787.0,,1566.0,,,,,,,,,,,,,,,,,,,,86,2029.0,,1632.0,,2724.0,,,,874.0,,518.0,,,,,
121,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 2        ",NON,Write-In                              ,,,29,,,,,,,,,,,,,,115.0,,,,,,,,,,,106.0,,,,,,59.0,31.0,49.0,,70.0,,,,,,,,,,,,,,,,,,,,5,57.0,,101.0,,39.0,,,,68.0,,31.0,,,,,
122,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Over Votes                            ,,,0,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,,,1.0,0.0,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0,0.0,,0.0,,0.0,,,,0.0,,0.0,,,,,
123,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 2        ",   ,Under Votes                           ,,,589,,,,,,,,,,,,,,1252.0,,,,,,,,,,,1366.0,,,,,,866.0,538.0,803.0,,839.0,,,,,,,,,,,,,,,,,,,,0,880.0,,1052.0,,908.0,,,,649.0,,340.0,,,,,
124,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 3        ",REP,Craig W. Hill                         ,,,774,,1268.0,,,1298.0,,,,,,,,,,,,,,,831.0,1431.0,,,,,,,,,,,,,329.0,,,2256.0,,,,,,,1629.0,,,743.0,,,1614.0,,,,,52,,2660.0,,,,,2430.0,,,,,,613.0,,,
125,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 3        ",NON,Write-In                              ,,,14,,105.0,,,32.0,,,,,,,,,,,,,,,23.0,17.0,,,,,,,,,,,,,3.0,,,27.0,,,,,,,13.0,,,18.0,,,15.0,,,,,2,,28.0,,,,,64.0,,,,,,61.0,,,
126,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Over Votes                            ,,,0,,1.0,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,,,,,,,0.0,,,0.0,,,0.0,,,,,0,,0.0,,,,,0.0,,,,,,0.0,,,
127,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 3        ",   ,Under Votes                           ,,,275,,940.0,,,448.0,,,,,,,,,,,,,,,218.0,314.0,,,,,,,,,,,,,111.0,,,654.0,,,,,,,362.0,,,342.0,,,317.0,,,,,0,,749.0,,,,,793.0,,,,,,596.0,,,
128,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 4        ",REP,Phil Vandiver                         ,,,1084,,,,1619.0,,,,,,,,,,,,,1183.0,,1693.0,,,,1350.0,,,,,,2188.0,,,,,,,,,,2686.0,2273.0,,,2939.0,,,,,,,,934.0,,,,65,,,,,,,,1689.0,,,,,,,,
129,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 4        ",NON,Write-In                              ,,,41,,,,40.0,,,,,,,,,,,,,47.0,,107.0,,,,81.0,,,,,,46.0,,,,,,,,,,100.0,107.0,,,107.0,,,,,,,,54.0,,,,5,,,,,,,,56.0,,,,,,,,
130,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Over Votes                            ,,,0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,1.0,0.0,,,0.0,,,,,,,,0.0,,,,0,,,,,,,,0.0,,,,,,,,
131,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 4        ",   ,Under Votes                           ,,,635,,,,522.0,,,,,,,,,,,,,442.0,,1182.0,,,,810.0,,,,,,902.0,,,,,,,,,,1272.0,1206.0,,,1282.0,,,,,,,,605.0,,,,0,,,,,,,,726.0,,,,,,,,
132,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 5        ",REP,Phil Riddick                          ,,,1522,2340.0,,,,,,,,1838.0,,2693.0,1382.0,,,,,,,,,,,,1993.0,,,,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,62,,,,1338.0,,,,,,1930.0,,2058.0,,,1941.0,2832.0
133,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 5        ",NON,Write-In                              ,,,13,41.0,,,,,,,,36.0,,23.0,16.0,,,,,,,,,,,,53.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,5,,,,11.0,,,,,,83.0,,23.0,,,31.0,42.0
134,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Over Votes                            ,,,1,0.0,,,,,,,,0.0,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,,,,0.0,,,,,,1.0,,0.0,,,0.0,0.0
135,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 5        ",   ,Under Votes                           ,,,665,904.0,,,,,,,,694.0,,753.0,587.0,,,,,,,,,,,,839.0,,,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,0,,,,428.0,,,,,,1016.0,,793.0,,,702.0,1067.0
136,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 6        ",DEM,"Robert ""Bob"" Harrison                 ",,1205.0,655,,,1602.0,,,950.0,432.0,,,,,,1175.0,,855.0,,,1501.0,,,,,,,,,876.0,304.0,,,,,,,,,,,,,,,,,,1005.0,,2458.0,,,,,289.0,,142,,,,,,1675.0,,,,,,,,196.0,,
137,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 6        ",NON,Write-In                              ,,43.0,35,,,127.0,,,72.0,30.0,,,,,,54.0,,35.0,,,188.0,,,,,,,,,100.0,6.0,,,,,,,,,,,,,,,,,,98.0,,358.0,,,,,16.0,,9,,,,,,114.0,,,,,,,,6.0,,
138,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 6        ",   ,Over Votes                            ,,4.0,1,,,1.0,,,3.0,0.0,,,,,,2.0,,0.0,,,1.0,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,,,,2.0,,9.0,,,,,1.0,,0,,,,,,1.0,,,,,,,,0.0,,
139,"MEMBER MADISON COUNTY COMMISSION, DISTRICT NO. 6        ",   ,Under Votes                           ,,30.0,198,,,164.0,,,143.0,118.0,,,,,,84.0,,235.0,,,157.0,,,,,,,,,140.0,41.0,,,,,,,,,,,,,,,,,,98.0,,479.0,,,,,49.0,,0,,,,,,296.0,,,,,,,,15.0,,
140,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 4     ",REP,Dave Weis                             ,,,333,,,,1171.0,,,,,,,,,,,,,,,,,,,1340.0,,,,,,,,,,,,,,,,,2056.0,,,,,,,,,,,879.0,,,,31,,,,,,,,1200.0,,,,,,,,
141,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 4     ",NON,Write-In                              ,,,12,,,,21.0,,,,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,94.0,,,,,,,,,,,53.0,,,,1,,,,,,,,41.0,,,,,,,,
142,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 4     ",   ,Over Votes                            ,,,0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,0.0,,,,0,,,,,,,,0.0,,,,,,,,
143,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 4     ",   ,Under Votes                           ,,,206,,,,424.0,,,,,,,,,,,,,,,,,,,826.0,,,,,,,,,,,,,,,,,1087.0,,,,,,,,,,,590.0,,,,0,,,,,,,,609.0,,,,,,,,
144,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 5     ",DEM,Corrie Wikoff                         ,,,324,,,,,,,,,,,,,,13.0,,,500.0,,411.0,,,,,,,,,26.0,937.0,,17.0,,,,0.0,,,,773.0,162.0,,,1296.0,,,,,44.0,,,,,,,9,12.0,,41.0,,19.0,,,,4.0,,,,2.0,,,
145,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 5     ",REP,Shere Rucker                          ,,,528,,,,,,,,,,,,,,12.0,,,1044.0,,425.0,,,,,,,,,9.0,2062.0,,1.0,,,,0.0,,,,1409.0,172.0,,,2311.0,,,,,19.0,,,,,,,20,17.0,,120.0,,106.0,,,,2.0,,,,0.0,,,
146,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 5     ",NON,Write-In                              ,,,0,,,,,,,,,,,,,,0.0,,,6.0,,3.0,,,,,,,,,0.0,6.0,,0.0,,,,0.0,,,,4.0,1.0,,,4.0,,,,,0.0,,,,,,,0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,
147,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 5     ",   ,Over Votes                            ,,,1,,,,,,,,,,,,,,0.0,,,4.0,,2.0,,,,,,,,,0.0,7.0,,0.0,,,,0.0,,,,2.0,3.0,,,5.0,,,,,0.0,,,,,,,0,0.0,,0.0,,0.0,,,,0.0,,,,0.0,,,
148,"MEMBER, MADISON COUNTY OF EDUCATION, DISTRICT NO. 5     ",   ,Under Votes                           ,,,34,,,,,,,,,,,,,,3.0,,,79.0,,37.0,,,,,,,,,2.0,124.0,,1.0,,,,0.0,,,,93.0,10.0,,,136.0,,,,,3.0,,,,,,,0,4.0,,9.0,,13.0,,,,0.0,,,,0.0,,,
149,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,Yes-Local Amendment No. 1             ,1707.0,815.0,5057,1946.0,1283.0,925.0,1255.0,1001.0,575.0,268.0,953.0,1475.0,2394.0,2105.0,1142.0,658.0,2316.0,556.0,1006.0,1091.0,974.0,1902.0,564.0,1077.0,968.0,1316.0,1626.0,2234.0,794.0,643.0,179.0,1890.0,1320.0,1945.0,1106.0,1622.0,253.0,1537.0,592.0,1775.0,1521.0,2512.0,2288.0,411.0,809.0,2732.0,993.0,608.0,593.0,643.0,1753.0,1010.0,1060.0,932.0,918.0,220.0,261.0,401,1868.0,2074.0,1757.0,961.0,2319.0,1288.0,2016.0,1446.0,989.0,1721.0,540.0,1676.0,744.0,108.0,1603.0,2261.0
150,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,NON,No-Local Amendment No. 1              ,296.0,214.0,929,387.0,342.0,223.0,329.0,232.0,151.0,79.0,269.0,327.0,569.0,351.0,223.0,176.0,476.0,144.0,234.0,208.0,223.0,415.0,163.0,193.0,220.0,340.0,372.0,450.0,187.0,134.0,43.0,405.0,321.0,348.0,189.0,310.0,59.0,280.0,122.0,383.0,301.0,531.0,468.0,85.0,146.0,561.0,283.0,166.0,142.0,139.0,460.0,266.0,213.0,244.0,243.0,61.0,50.0,95,346.0,381.0,358.0,196.0,447.0,273.0,424.0,346.0,238.0,381.0,103.0,369.0,178.0,20.0,332.0,459.0
151,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Over Votes                            ,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
152,PROPOSED LOCAL AMENDMENT NUMBER ONE (1)                 ,   ,Under Votes                           ,828.0,253.0,3325,952.0,689.0,746.0,597.0,545.0,442.0,233.0,686.0,766.0,1359.0,1013.0,620.0,480.0,902.0,424.0,537.0,373.0,650.0,665.0,345.0,492.0,501.0,585.0,886.0,902.0,485.0,341.0,129.0,841.0,490.0,723.0,439.0,707.0,158.0,658.0,339.0,779.0,777.0,1016.0,830.0,278.0,369.0,1034.0,727.0,353.0,468.0,321.0,1089.0,750.0,673.0,415.0,524.0,74.0,233.0,0,752.0,981.0,670.0,620.0,905.0,525.0,846.0,678.0,364.0,927.0,246.0,829.0,348.0,89.0,737.0,1221.0
